id,latitude,longitude,matrix_id,type,fill_level,waste_kg,priority,elevation_m,nearest_node
3554,38.683300018,-9.329460144,262,container,0,0,1,22.0,4033820186
3555,38.684200287,-9.325579643,263,container,0,0,1,27.0,1590024853
3556,38.68460083,-9.328849792,264,container,0,0,1,26.0,329701020
3557,38.684501648,-9.330180168,265,container,0,0,1,25.0,11013409596
3560,38.680400848,-9.330490112,266,container,0,0,1,15.0,329700723
3561,38.68629837,-9.347279549,267,container,0,0,1,21.0,9841918252
3565,38.706199646,-9.41849041,268,container,0,0,1,49.0,699743710
3567,38.70349884,-9.418379784,269,container,0,0,1,29.0,891920746
3568,38.701099396,-9.41411972,270,container,0,0,1,15.0,3656698565
3569,38.697799683,-9.419560432,271,container,0,0,1,7.0,258723354
3571,38.697200775,-9.420479774,272,container,0,0,1,12.0,13913102608
3573,38.699401855,-9.422860146,273,container,0,0,1,23.0,699725464
3574,38.698001862,-9.424920082,274,container,0,0,1,31.0,1155655270
3575,38.696601868,-9.424530029,275,container,0,0,1,23.0,330353861
3576,38.691101074,-9.429269791,276,container,0,0,1,20.0,330346144
3577,38.691101074,-9.42343998,277,container,0,0,1,16.0,664018335
3578,38.691898346,-9.424110413,278,container,0,0,1,16.0,1155655030
3579,38.694900513,-9.427889824,279,container,0,0,1,26.0,2050526890
3580,38.695301056,-9.428779602,280,container,0,0,1,28.0,2050526898
3581,38.701301575,-9.429109573,281,container,0,0,1,39.0,664018307
3582,38.696300507,-9.430199623,282,container,0,0,1,33.0,1930914525
3583,38.696998596,-9.430830002,283,container,0,0,1,32.0,1591374828
3584,38.700500488,-9.433199883,284,container,0,0,1,37.0,1591375013
3585,38.70470047,-9.432640076,285,container,0,0,1,51.0,1439115836
3587,38.707099915,-9.430560112,286,container,0,0,1,55.0,1106304639
3588,38.705898285,-9.429100037,287,container,0,0,1,55.0,1106304439
3589,38.704299927,-9.428560257,288,container,0,0,1,55.0,971092898
3590,38.701900482,-9.424369812,289,container,0,0,1,30.0,177209007
3591,38.702400208,-9.42743969,290,container,0,0,1,42.0,11252802319
3592,38.702999115,-9.430890083,291,container,0,0,1,49.0,1315111994
3594,38.703601837,-9.434789658,292,container,0,0,1,47.0,1934984141
3595,38.698299408,-9.435299873,293,container,0,0,1,45.0,9158978400
3596,38.697498322,-9.437439919,294,container,0,0,1,43.0,1591374845
3597,38.696498871,-9.441390038,295,container,0,0,1,38.0,1591374736
3598,38.698299408,-9.440070152,296,container,0,0,1,45.0,1091269692
3599,38.700199127,-9.440309525,297,container,0,0,1,46.0,699725582
3600,38.7018013,-9.439760208,298,container,0,0,1,53.0,5337523405
3601,38.705001831,-9.440299988,299,container,0,0,1,58.0,699725562
3602,38.706199646,-9.441180229,300,container,0,0,1,56.0,1835324823
3603,38.706001282,-9.442830086,301,container,0,0,1,57.0,3775173172
3605,38.704101563,-9.442270279,302,container,0,0,1,60.0,1835324790
3606,38.70880127,-9.440879822,303,container,0,0,1,49.0,8090951031
3607,38.70759964,-9.44054985,304,container,0,0,1,57.0,330438722
3608,38.704101563,-9.439330101,305,container,0,0,1,54.0,330438755
3609,38.702999115,-9.438650131,306,container,0,0,1,51.0,1155654176
3610,38.702301025,-9.438489914,307,container,0,0,1,51.0,2433637949
3611,38.700401306,-9.438139915,308,container,0,0,1,49.0,1155655156
3612,38.701999664,-9.436309814,309,container,0,0,1,51.0,1155655099
3613,38.699901581,-9.43640995,310,container,0,0,1,46.0,1155653909
3614,38.699199677,-9.437680244,311,container,0,0,1,48.0,1091269599
3616,38.708099365,-9.43614006,312,container,0,0,1,45.0,893544145
3617,38.709999084,-9.434280396,313,container,0,0,1,53.0,4692884507
3618,38.711601257,-9.435339928,314,container,0,0,1,54.0,893544300
3619,38.713298798,-9.432640076,315,container,0,0,1,57.0,893034692
3620,38.712100983,-9.430259705,316,container,0,0,1,61.0,1835792372
3621,38.712898254,-9.42593956,317,container,0,0,1,44.0,894685102
3622,38.710601807,-9.425550461,318,container,0,0,1,44.0,412816962
3623,38.710098267,-9.424869537,319,container,0,0,1,55.0,894685476
3624,38.70880127,-9.425100327,320,container,0,0,1,35.0,892584236
3625,38.708000183,-9.422940254,321,container,0,0,1,51.0,2358633924
3626,38.708099365,-9.421469688,322,container,0,0,1,48.0,892584024
3627,38.708698273,-9.422829628,323,container,0,0,1,53.0,4317276711
3628,38.70470047,-9.422389984,324,container,0,0,1,48.0,10951592933
3630,38.707801819,-9.420209885,325,container,0,0,1,48.0,888943167
3631,38.709201813,-9.420920372,326,container,0,0,1,50.0,4317276705
3633,38.71269989,-9.424730301,327,container,0,0,1,66.0,892583962
